Date,Close
1/2/2020 16:00:00,209.78
1/3/2020 16:00:00,208.67
1/6/2020 16:00:00,212.6
1/7/2020 16:00:00,213.06
1/8/2020 16:00:00,215.22
1/9/2020 16:00:00,218.3
1/10/2020 16:00:00,218.06
1/13/2020 16:00:00,221.91
1/14/2020 16:00:00,219.06
1/15/2020 16:00:00,221.15
1/16/2020 16:00:00,221.77
1/17/2020 16:00:00,222.14
1/21/2020 16:00:00,221.44
1/22/2020 16:00:00,221.32
1/23/2020 16:00:00,219.76
1/24/2020 16:00:00,217.94
1/27/2020 16:00:00,214.87
1/28/2020 16:00:00,217.79
1/29/2020 16:00:00,223.23
1/30/2020 16:00:00,209.53
1/31/2020 16:00:00,201.91
2/3/2020 16:00:00,204.19
2/4/2020 16:00:00,209.83
2/5/2020 16:00:00,210.11
2/6/2020 16:00:00,210.85
2/7/2020 16:00:00,212.33
2/10/2020 16:00:00,213.06
2/11/2020 16:00:00,207.19
2/12/2020 16:00:00,210.76
2/13/2020 16:00:00,213.14
2/14/2020 16:00:00,214.18
2/18/2020 16:00:00,217.8
2/19/2020 16:00:00,217.49
2/20/2020 16:00:00,214.58
2/21/2020 16:00:00,210.18
2/24/2020 16:00:00,200.72
2/25/2020 16:00:00,196.77
2/26/2020 16:00:00,197.2
2/27/2020 16:00:00,189.75
2/28/2020 16:00:00,192.47
3/2/2020 16:00:00,196.44
3/3/2020 16:00:00,185.89
3/4/2020 16:00:00,191.76
3/5/2020 16:00:00,185.17
3/6/2020 16:00:00,181.09
3/9/2020 16:00:00,169.5
3/10/2020 16:00:00,178.19
3/11/2020 16:00:00,170.24
3/12/2020 16:00:00,154.47
3/13/2020 16:00:00,170.28
3/16/2020 16:00:00,146.01
3/17/2020 16:00:00,149.42
3/18/2020 16:00:00,146.96
3/19/2020 16:00:00,153.13
3/20/2020 16:00:00,149.73
3/23/2020 16:00:00,148.1
3/24/2020 16:00:00,160.98
3/25/2020 16:00:00,156.21
3/26/2020 16:00:00,163.34
3/27/2020 16:00:00,156.79
3/30/2020 16:00:00,165.95
3/31/2020 16:00:00,166.8
4/1/2020 16:00:00,159.6
4/2/2020 16:00:00,158.19
4/3/2020 16:00:00,154.18
4/6/2020 16:00:00,165.55
4/7/2020 16:00:00,168.83
4/8/2020 16:00:00,174.28
4/9/2020 16:00:00,175.19
4/13/2020 16:00:00,174.79
4/14/2020 16:00:00,178.17
4/15/2020 16:00:00,176.97
4/16/2020 16:00:00,176.25
4/17/2020 16:00:00,179.24
4/20/2020 16:00:00,178.24
4/21/2020 16:00:00,170.8
4/22/2020 16:00:00,182.28
4/23/2020 16:00:00,185.13
4/24/2020 16:00:00,190.07
4/27/2020 16:00:00,187.5
4/28/2020 16:00:00,182.91
4/29/2020 16:00:00,194.19
4/30/2020 16:00:00,204.71
5/1/2020 16:00:00,202.27
5/4/2020 16:00:00,205.26
5/5/2020 16:00:00,207.07
5/6/2020 16:00:00,208.47
5/7/2020 16:00:00,211.26
5/8/2020 16:00:00,212.35
5/11/2020 16:00:00,213.18
5/12/2020 16:00:00,210.1
5/13/2020 16:00:00,205.1
5/14/2020 16:00:00,206.81
5/15/2020 16:00:00,210.88
5/18/2020 16:00:00,213.19
5/19/2020 16:00:00,216.88
5/20/2020 16:00:00,229.97
5/21/2020 16:00:00,231.39
5/22/2020 16:00:00,234.91
5/26/2020 16:00:00,232.2
5/27/2020 16:00:00,229.14
5/28/2020 16:00:00,225.46
5/29/2020 16:00:00,225.09
6/1/2020 16:00:00,231.91
6/2/2020 16:00:00,232.72
6/3/2020 16:00:00,230.16
6/4/2020 16:00:00,226.29
6/5/2020 16:00:00,230.77
6/8/2020 16:00:00,231.4
6/9/2020 16:00:00,238.67
6/10/2020 16:00:00,236.73
6/11/2020 16:00:00,224.43
6/12/2020 16:00:00,228.58
6/15/2020 16:00:00,232.5
6/16/2020 16:00:00,235.65
6/17/2020 16:00:00,235.53
6/18/2020 16:00:00,235.94
6/19/2020 16:00:00,238.79
6/22/2020 16:00:00,239.22
6/23/2020 16:00:00,242.24
6/24/2020 16:00:00,234.02
6/25/2020 16:00:00,235.68
6/26/2020 16:00:00,216.08
6/29/2020 16:00:00,220.64
6/30/2020 16:00:00,227.07
7/1/2020 16:00:00,237.55
7/2/2020 16:00:00,233.42
7/6/2020 16:00:00,240.28
7/7/2020 16:00:00,240.86
7/8/2020 16:00:00,243.58
7/9/2020 16:00:00,244.5
7/10/2020 16:00:00,245.07
7/13/2020 16:00:00,239
7/14/2020 16:00:00,239.73
7/15/2020 16:00:00,240.28
7/16/2020 16:00:00,240.93
7/17/2020 16:00:00,242.03
7/20/2020 16:00:00,245.42
7/21/2020 16:00:00,241.75
7/22/2020 16:00:00,239.87
7/23/2020 16:00:00,232.6
7/24/2020 16:00:00,230.71
7/27/2020 16:00:00,233.5
7/28/2020 16:00:00,230.12
7/29/2020 16:00:00,233.29
7/30/2020 16:00:00,234.5
7/31/2020 16:00:00,253.67
8/3/2020 16:00:00,251.96
8/4/2020 16:00:00,249.83
8/5/2020 16:00:00,249.12
8/6/2020 16:00:00,265.28
